player.playerId,player.player.player.givenName,player.player.player.surname,ID
CD_I294613,Jaeger,O'Meara,12141
CD_I294624,Lachie,Plowman,12142
CD_I294305,Lachie,Whitfield,12143
CD_I290289,Josh,Thomas,12144
CD_I290810,Jack,Frost,12145
CD_I291902,Jack,Viney,12147
CD_I296027,Matt,Jones,12148
CD_I293042,Jimmy,Toumpas,12149
CD_I294318,Ollie,Wines,12150
CD_I294604,Jake,Neade,12151
CD_I270606,Kane,Mitchell,12152
CD_I296733,Mark,Blicavs,12153
CD_I291861,Jed,Anderson,12154
CD_I294307,Brad,Crouch,12156
CD_I260278,Sam,Rowe,12157
CD_I294737,Callum,Sinclair,12158
CD_I291777,Dylan,Buckley,12159
CD_I294317,Nathan,Wright,12160
CD_I290422,Thomas,Lee,12161
CD_I293603,Sam,Mayes,12162
CD_I290085,Taylor,Duryea,12163
CD_I295406,Tanner,Smith,12164
CD_I293222,Rory,Laird,12165
CD_I295467,Jack,Macrae,12166
CD_I293884,Jake,Stringer,12167
CD_I290199,Majak,Daw,12168
CD_I294618,Marco,Paparone,12169
CD_I295518,Sam,Docherty,12170
CD_I295095,Brodie,Murdoch,12172
CD_I281105,Jack,Hannath,12173
CD_I294674,Nick,Vlastuin,12174
CD_I294685,Zac,Williams,12175
CD_I291975,Jarrod,Witts,12177
CD_I293431,Ben,Kennedy,12178
CD_I294583,Jesse,Lonergan,12180
CD_I294508,Aidan,Corr,12181
CD_I291544,Jed,Lamb,12182
CD_I294570,Dean,Kent,12184
CD_I294663,Jackson,Thurlow,12185
CD_I281052,Mark,Hutchings,12187
CD_I290757,Jimmy,Webster,12188
CD_I293154,Troy,Menzel,12189
CD_I294556,Nathan,Hrovat,12190
CD_I294270,Sam,Michael,12192
CD_I292013,Sam,Grimley,12193
CD_I295459,Will,Hams,12195
CD_I291856,Tom,Mitchell,12196
CD_I294518,Joe,Daniher,12199
CD_I295906,Brandon,Jack,12200
CD_I292048,Adam,Oxley,12202
CD_I294557,Lachie,Hunter,12203
CD_I293854,Matt,Taberner,12205
CD_I293739,Xavier,Richards,12206
CD_I291927,Simon,Tunbridge,12207
CD_I291446,Viv,Michie,12209
CD_I291327,Jonathon,Ceglar,12210
CD_I294615,Jonathan,O'Rourke,12212
CD_I290683,Will,Langford,12214
CD_I293957,Brodie,Grundy,12217
CD_I296452,Darren,Minchington,12218
CD_I296078,Taylor,Garner,12220
CD_I296559,Tom,Downie,12221
CD_I295445,Nick,Graham,12222
CD_I294561,Kristian,Jaksch,12227
CD_I295608,Shane,Biggs,12228
CD_I294654,James,Stewart,12232
CD_I295444,Tom,Langdon,12233
CD_I294013,Sean,Lemmens,12234
CD_I291896,Clay,Cameron,12235
CD_I296190,Jack,Martin,12236
CD_I296254,Jarman,Impey,12237
CD_I294504,Tom,Clurey,12238
CD_I295599,Patrick,Ambrose,12239
CD_I297438,Martin,Gleeson,12240
CD_I992016,Zach,Merrett,12241
CD_I296041,Tim,O'Brien,12242
CD_I296343,Jay,Kennedy Harris,12245
CD_I296355,Luke,McDonald,12246
CD_I294429,Luke,Dunstan,12247
CD_I296208,Eli,Templeton,12248
CD_I296351,Jack,Billings,12249
CD_I295067,James,Aish,12250
CD_I294309,Michael,Close,12251
